name,AltLastName,AltMiddleName,AltFirstName,Maiden Name,Title,Birth Date,DoB Source,DoB Source URL,Death Date,DoD (P570) Source,DoD Source URL,Marriage Date,P26+P2562 Source,P26+P2562 Source URL,Source for Dates,Place of Birth (P19),PoB Source,PoB Source URL,Place of Death,Place of Death Source,Place of Death Source URL,Place of Residence,Place of Residence Source,Place of Residence Source URL,Source for Places,Occupation,Occupation Source,Occupation Source URL,Gender,LOD - WikiData,DoB Source LCCN,DoB Source Alt_LCCN,DoB Source OCLC,DoB Source Alt_OCLC,DoD (P570) Source LCCN,DoD (P570) Source Alt_LCCN,DoD (P570) Source OCLC,DoD (P570) Source Alt_OCLC,P26+P2562 Source LCCN,P26+P2562 Source Alt_LCCN,P26+P2562 Source OCLC,P26+P2562 Source Alt_OCLC,Source for Dates LCCN,Source for Dates Alt_LCCN,Source for Dates OCLC,Source for Dates Alt_OCLC,PoB Source LCCN,PoB Source Alt_LCCN,PoB Source OCLC,PoB Source Alt_OCLC,Place of Death Source LCCN,Place of Death Source Alt_LCCN,Place of Death Source OCLC,Place of Death Source Alt_OCLC,Place of Residence Source LCCN,Place of Residence Source Alt_LCCN,Place of Residence Source OCLC,Place of Residence Source Alt_OCLC,Source for Places LCCN,Source for Places Alt_LCCN,Source for Places OCLC,Source for Places Alt_OCLC,Occupation Source LCCN,Occupation Source Alt_LCCN,Occupation Source OCLC,Occupation Source Alt_OCLC
"Dark, William",,,,,,,,,,,,,,,,,,,,,,,,,https://archive.org/stream/historyofbucksco00davi_0/historyofbucksco00davi_0_djvu.txt,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[],,,,
"David, Jonathan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Davis, Daniel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dawes, Sybrand",Dauwes,,Sybrandt,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dawson, Edward",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deane, Thomas",Dean,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Denson, Frances",Dancion; Danson,,Francis; Franses,Latham,,1630,,https://www.familysearch.org/ark:/61903/1:1:QVLL-1N3Y?lang=en,1709-05-02 00:00:00,,https://www.familysearch.org/ark:/61903/1:1:QVLL-1N3Y?lang=en,c.1648,,https://www.familysearch.org/en/tree/person/about/LZKQ-LYN,,"Isle of Wight, Virginia",,https://www.familysearch.org/en/tree/person/about/LZKQ-LYN,"Isle of Wight, Virginia",,https://www.familysearch.org/en/tree/person/about/LZKQ-LYN,"Nansemond, Virginia (ARBarclay_MS_Vol324_154)",,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dewhurst, Edward",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dickinson, Alice",Dickenson,,Alis,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dickinson, Joshua",Dickenson; Dickerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dickinson, William",Dickenson,Lindow,,,,1630,,,1695-01-01 00:00:00,,,,,,,"Yorkshire, England",,,"Yorkshire, England",,,,,,,,,,Male,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dickinson, William Lindow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diepenbroek, Coenraad van",Diepenbroich; Depenbrock,,Conrad; Konrad; Conraad,,,,,,1714-09-01 00:00:00,,,,,,GAMEO,,,,,,,"Haarlem, Netherlands",,,,Minister,GAMEO,,Male,,,,,,,,,,,,,,,[],,[],,,,,,,,,,,,,,,,,,[],,[]
"Diephout, Adriaen van",Diephuis; Deephout,Verkruyssen segge,Adrian; Adriaan; Adrien,,,1645|circa,,,,,,,,,New Dutch Biographical Dictionary,"Amsterdam, Netherlands",,,New Dutch Biographical Dictionary,,,"Amsterdam, Netherlands",,,New Dutch Biographical Dictionary,,,,Male,,,,,,,,,,,,,,,[],,[],,,,,,,,,,,,,,[],,[],,,,
"Dimsdale, Robert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dix, Katherine",Dickes; Dickens,,Katrin; Kati; Katie,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dobbelaer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dockray, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dombell, Jane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Donens, Peter",Dohmen; Dominick; Dominicus; Dönens,,Pieter; Peder,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Donn, William",Dunn; Donne,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doornbusch, Jan Luirts",Doorbush; Dornbusch; Doorbush,,Johan; John; Johannes,,,,,,,,,1709-08-10 00:00:00,,,AlleGroningers,,,,,,,"Groningen, Netherlands",,,,,,,Male,,,,,,,,,,,,,,,[],,[],,,,,,,,,,,,,,,,,,,,
"Dotson, Richard",Doutson,,,,,,,,[1683],,,,,,DoD: #16160,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,[],,[],,,,,,,,,,,,,,,,,,,,
"Downall, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Drecks, Hindrick Hindriks Van",Dreks; Drecs; Drex; Draca; Drelick; Drake; Drecksz; Rondrecks; Randrecks,,Hendrick; Henrik; Heinrich,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Drijans, Hendrick",Dryans; Drigans,,Hindrick; Henrik; Heinrich,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dring, Robert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Droiebell, Hans",Driebel; Drobel; Triebell,,Hannes; Hanß,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Drost, Jan",Drossessere; Drossaard; Dröst; Droste,,Johan; John; Johannes,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Druyvesteyn, Jacob",Druyvestijn; Druyvestein,,Jakob; Jakop; Jacop,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Duncan, William",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dunn, Francis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dury, Andrew",,,,,,1600,,,,,,,,,,,,,,,,,,,https://stars.library.ucf.edu/printmigrationnetwork-pemberton/189/,merchant,"Robert Charles Moon, Morris Family of Philadelphia: Descendants of Anthony Morris, vol. 1 (Philadelphia, 1908): 117-119, https://play.google.com/books/reader?id=9hs5AAAAMAAJ&hl=en&pg=GBS.PA117.",,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[]
"Dusheyst, Adolf Van",Duijst; Donsheijst; Dunsheist,,Adolph,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dymock, Tobias",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dyson, John",Dison,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eastbourne, John",Eastbourn; Eastborne; Eastborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eberling, Jacob",Everling; Eberlin; Eberlein; Everlinck; Everlin,,Jakob; Jakop; Jackop,,,,,,,,,,,,,,,,,,,"Obersülzen, Germany",,,GAMEO,Elder,GAMEO,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[],,[],,[]
"Edmondson, John",Edmonson; Edmundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Egli, Maartin",Egilof; Egenolf; Eikli; Egly; Egle,,Martin,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elletson, Jeffrey",Ellison,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elliot, Andrew",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ellis, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ellis, William",,,,,,1658,,,1709-01-01 00:00:00,,,,,,Edited collection of his letters available in Sources folder  ,"Airton, Yorkshire, England",,,,,,,,,,missionary,,,Male,,,,,,,,,,,,,,,[],,[],,,,,,,,,,,,,,,,,,,,
"Emley, William",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Empson, Cornelius",,,,,Judge (1689-1701),c. 1660,,,1711-01-01 00:00:00,,,,,,,"Yorkshire, England",,,,,,"New Castle County, Delaware",,,,Justice of the peace,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Endon, Joseph",Enden,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"England, Philip",,,,,,1640,,,1708-01-01 00:00:00,,,1658; 1688-10-01,,,https://www.wikitree.com/wiki/England-3151,"Tennekelly, County Westmeath, Ireland",,,"New Castle County, Delaware",,,Ireland$t1683; Delaware,,,https://www.wikitree.com/wiki/England-3151,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"English, Joseph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Erfurt, Augustiner Gemeinde Zu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Erfurt, Magistrat",,,,,Magistrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Erfurt, Ministerium Zu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Erfurth, Burgermeister Of",,,,,Burgermeister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estan, David",Easten,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Evernden, Thomas",Everndon,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fagel, François",Fadil,Nicolaes; Nicolaas; Niclaas ,Francis; Francois,,,"20 December, 1659",,,1746-10-04 00:00:00,,,1693-08-01 00:00:00,,,New Dutch Biographical Dictionary,"The Hague, Netherlands",,,"The Hague, Netherlands",,,"The Hague, Netherlands",,,New Dutch Biographical Dictionary,Statesman; Clerk,New Dutch Biographical Dictionary,,Male,,,,,,,,,,,,,,,[],,[],,,,,,,,,,,,,,[],,[],,[],,[]
"Fallowfield, Jacob",Hallowfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fawcett, Margaret",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feddes, Huibert",Fiddes; Feddercke; Friedrich,,Hubert; Huijbers; Huybers; Huijbert,,,,,,,,,,,,,,,,,,,"Harlingen, Netherlands",,,,Teacher,AlleFriezen,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[]
"Fell, Hannah",Cooke; Potter,,,Cooke,,c. 1638,,https://www.familysearch.org/en/tree/person/about/GMF8-YHJ,c. 1679,,https://www.familysearch.org/en/tree/person/about/GMF8-YHJ,December 1660 (Bonnelyn Young Kunze. 1993. Margaret Fell and the Rise of Quakerism. Palgrave Macmillan.),,,,"Bristol, Gloucestershire, England",,,,,,,,,,,,,Female,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fell, Hoskin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fell, Jonathan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fell, Susannah",,,,,,1650,,,,,,c. 1691,,,,,,,,,,,,,,,,,Female,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Finch, Moses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fisher, John",Fischer,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fisher, Martha",Fischer,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fitzwater, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fletcher, Elizabeth",,,,,,,,,,,,,,,,,,,,,,,,,"James Murphy, ""The Old Quaker Meeting House in Hackins Hey, Liverpool,"" 1954",,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[],,,,
"Fletcher, John",,,Jonathan,,,,,,1683-01-01 00:00:00,,,,,,DoD: #16160,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,[],,[],,,,,,,,,,,,,,,,,,,,
"Fletcher, Robert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ford, Richard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ford, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Foreman, Thomas",Fearman,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fothergill,  John",,,,,Doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fowler, Robert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fox, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Francke, Johann Friedrich",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Francken, Everwijn",Franken; Franke; Vranken,,Everwyn; Everwynn; Eberwijn,,,,,,,,,,,,,,,,,,,"Zutphen, Gelderland, Netherlands",,,GAMEO,Preacher,GAMEO,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[],,[],,[]
"Fransz, Sievers",Franz; Frans,,Sievert; Siemers; Seevers,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Frederik I, King In Prussia",Frederick; Friedrick; Friedrik,,,,King; Koning,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Freriks, Frerik",Frederick; Friedricks; Friedriks; Fredrichs,,Frederick; Friedricks; Friedriks; Fredrichs,,,,,,,,,,,,,,,,,,,"Groningen, Netherlands",,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Freriks, Izaak",Frederick; Friedricks; Friedriks; Fredrichs,,Isaac; Isaak; Izaac,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Freriksen, Teunis",Frederick; Friedricks; Friedriks; Fredrichs; Frerickson; Frerikson,,Anthonius; Theuns; Teunis; Antonie; Antoine; Anthony,,,,,,,,,,,,,,,,,,,"Groningen, Netherlands",,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Freriksz, Jan",Frederick; Friedricks; Friedriks; Fredrichs; Freriks; Frederyksz; Fredericksen,,John; Johan; Johannes,,,,,,,,,,,,,,,,,,,"Deventer, Netherlands",,,GAMEO,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[],,,,
"Freworth, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Funck, Henrick",Funk; Vunck; Vunke,,Hendrick; Hendrik; Heinrich,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gamble, Francis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gandersheim, Abtissin",,,,,Abtissin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gandy, William",Gandey; Gandee; Gandye ,,Wm,,,,,,,,,,,,,,,,,,,,,,#15815,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[],,,,
"Gardiner, Daniel",,,Dan,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gardner, Isabel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Garman, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Garside, Abraham",Carside,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gauber, Niclaus",Gampen; Gaubert; Gautberht; Galbert; Guber,,Nicholas; Niklaus; Niclaes; Niklaes,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gent, Jan Van",Jent; Ghent; Gand; Genck; Gendt,,John; Johan; Johannes,,,,,,,,,,,,,,,,,,,"Rotterdam, Netherlands",,,,Deacon,GAMEO,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[]
"Gerbard, Caspar",Gerbardt,,,,,,,,,,,,,,,,,,,,,,,,,Locksmith,,https://archiv.francke-halle.de/hzeig.FAU?sid=6526D7BB14&dm=1&dokref=1&indx=%23F211%23&auft=Gerbard%2C+Caspar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gerish, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gersten, Adrian",Gertse,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gesberts, Jacob",Gijsbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gibbs, Henry",Gibs,,,,,,,,1685-12-16 00:00:00,,https://www.familysearch.org/ark:/61903/3:1:3QS7-L99B-LV9T?i=96&wc=9PMD-7MS%3A268497401%2C270900701&cc=1999196&lang=en,,,,,,,,"Bucks County, Pennsylvania",,https://www.familysearch.org/ark:/61903/3:1:3QS7-L9SM-8ZV6?wc=9PMG-SP8%3A268497401%2C271057101%26cc%3D1999196&lang=en&i=9,Pennsbury Manor; Pennsylvania,Accounts of Goods at Pennsbury,,,Carpenter,,https://www.familysearch.org/ark:/61903/3:1:3QS7-L9SM-8ZV6?wc=9PMG-SP8%3A268497401%2C271057101%26cc%3D1999196&lang=en&i=9,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[],,,,,,,,
"Gibson, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Godshalk, Jacob",Gottschalk; Gottshalk; Godschalk; Gaedtschalck; Godshall; Gottshall,,Jakob; Jakop; Jacop,,,[1670],,,[May 1763],,,[1688],,,FindAGrave,"Goch, Kreis Kleve, Nordrhein-Westphalen, Germany",,,"Montgomery County, Pennsylvania, USA",,,"Goch, Germany",,,GAMEO,Preacher,GAMEO,,Male,,,,,,,,,,,,,,,[],,[],,,,,,,,,,,,,,[],,[],,[],,[]
"Goijen, Goosse",Goyen; Goen; Goeje,,Goose; Gosen; Gooss; Gossen,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Goodacre, Samuel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Goodday, George",,,,,,,,,,,,,,,,,,,,,,,,,https://stars.library.ucf.edu/printmigrationnetwork-pemberton/324/,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Goodson, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Goss, Charles",Gauss,,,,,,,,1697-07-01 00:00:00,,https://stars.library.ucf.edu/printmigrationnetwork-pemberton/249/,,,,,[England],,,"Philadelphia, Pennsylvania",,https://stars.library.ucf.edu/printmigrationnetwork-pemberton/249/,,,,,merchant,Abstract of Wills at Philadelphia,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[]
"Gough, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gould, Daniel",Gold,,,,,1625,,,1716-03-01 00:00:00,,,1651-12-01 00:00:00,,,,England,,,"Newport, Newport County, Rhode Island",,,"Boston, Massachusetts",,,https://stars.library.ucf.edu/printmigrationnetwork-pemberton/395/,author; pastor; missionary,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gouldney, Adam",Goldney,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Govaerts, Tobias",Godfried; Goverts,,Tobbe; Tovias,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gratton, Elizabeth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gray, George",,,,,,[1650],,https://www.google.com/books/edition/_/yIBPAAAAMAAJ?hl=en&gbpv=0,[1718],,https://web.tricolib.brynmawr.edu/speccoll/quakersandslavery/commentary/people/fox.php,,,,,Barbados,,https://web.tricolib.brynmawr.edu/speccoll/quakersandslavery/commentary/people/fox.php,"Philadelphia, Pennsylvania",,https://www.google.com/books/edition/_/yIBPAAAAMAAJ?hl=en&gbpv=0,,,,,shopkeeper; plantation owner;,,,Male,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green, Anthony",Greene,,,,,,,,,,,,,,,,,,,,,,,,https://stars.library.ucf.edu/printmigrationnetwork-pemberton/324/,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green, George",Greene,,,,,,,,,,,,,,,,,,,,,,,,,combmaker,https://stars.library.ucf.edu/printmigrationnetwork-pemberton/324/,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green, Jon",Greene,,John; Jonathan,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greeneland, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gregory, Adam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gregory, Alice",,,Alis,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gregory, Giles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gregory, Mary",,,,,,,,,"before
1684-06-01",,,,,,#15954,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,[],,[],,,,,,,,,,,,,,,,,,,,
"Gregory, Peter",,,,,,,,,,,,,,,,,,,,,,,,,#15954,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[],,,,
"Gregory, Robert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
